elapsed_seconds,hr,hr_expected,hr_effective,drift_est,P_virtual,P_virtual_60s,speed_kmh_clean,grade_roll_120s,corr_active
1320.0,159.0,148.00194147924054,159.0,4.545605845521059,96.9156750425422,81.22298930249734,28.1466,-0.00010518411530784072,0
1325.0,158.5,147.56190522804076,158.5,4.545605845521059,97.82010494404248,83.3661647776985,28.0692,-0.0007293568340474023,0
1330.0,158.0,146.61434076674982,158.0,4.545605845521059,95.91492545452762,85.49234251206396,28.0692,-0.0013045612818185087,0
1335.0,159.0,146.293101243398,159.0,4.545605845521059,95.87023794979723,87.45829639691817,28.17,-0.001837421086202406,0
1340.0,158.5,146.25718533421244,158.5,4.545605845521059,100.26881955624947,89.89235674254208,28.3275,-0.0022905269297660356,0
1345.0,158.0,146.25189643582326,158.0,4.545605845521059,103.91588145031038,92.44364309881331,28.637100000000004,-0.0026500427058209607,0
1350.0,158.0,146.25189643582326,158.0,4.545605845521059,105.99754531713178,95.07939327423507,28.8936,-0.002948719387377516,0
1355.0,157.0,146.25605513270142,157.0,4.545605845521059,109.25636427601867,97.5953483497183,29.0016,-0.00314975645890269,0
1360.0,157.0,146.22291823709466,157.0,4.545605845521059,113.54588064909032,99.97956218142771,29.1636,-0.0032514074809256587,0
1365.0,157.0,146.22291823709466,157.0,4.545605845521059,116.7550264993881,102.13665079724893,29.1636,-0.003285932200156281,0
1370.0,157.0,146.23252729076495,157.0,4.545605845521059,118.56175393324472,104.14301636204095,29.1636,-0.003269863649806612,0
1375.0,156.5,146.32888114661537,156.5,4.545605845521059,120.76459532756469,106.29890086665897,28.8756,-0.0032199928132746985,0
1380.0,156.0,146.32888114661537,151.45439415447893,4.545605845521059,120.13599952436459,108.23392790681085,28.7016,-0.0031476222597829825,1
1385.0,156.0,146.2800393390414,151.45439415447893,4.545605845521059,120.88597563233373,110.15608379750176,28.7016,-0.003039862794132922,1
1390.0,155.66666666666666,146.2800393390414,151.1210608211456,4.545605845521059,120.98974426102748,112.24565203137676,28.7016,-0.0029126928141810136,1
1395.0,155.33333333333334,146.2800393390414,150.78772748781228,4.545605845521059,116.87053400307443,113.9956767024832,28.848599999999998,-0.0028193670640218656,1
1400.0,155.0,146.21914488698093,150.45439415447893,4.545605845521059,113.88977806927608,115.13075657856875,28.848599999999998,-0.002727918700347604,1
1405.0,156.0,146.21914488698093,151.3239634340972,4.676036565902778,112.34409502739277,115.83310770999226,28.848599999999998,-0.002653932485865705,1
1410.0,156.0,146.21914488698093,151.19679348172505,4.803206518274954,113.01511108534696,116.41790485734356,28.8399,-0.002569531248112876,1
1415.0,156.0,146.21914488698093,151.07280277816218,4.927197221837826,107.90992662141953,116.30570171946029,28.5057,-0.002527015418283053,1
1420.0,155.5,146.1330117496231,150.46225851375442,5.037741486245571,103.01565695595582,115.42818307836573,28.296,-0.0025272896369054696,1
1425.0,155.0,146.1842971480133,149.86825999091664,5.1317400090833685,99.4807694041559,113.98866165376306,28.245600000000003,-0.0025598191147436717,1
1430.0,156.0,146.1842971480133,150.75161143114977,5.248388568850221,97.74237384219518,112.25371331284225,28.2204,-0.002598245322234186,1
1435.0,156.5,146.23228515822345,151.12657878563235,5.3734212143676485,98.25305353519329,110.37775149681131,27.9531,-0.0026077448880302227,1
1440.0,157.0,146.22774638044078,151.4920584868083,5.507941513191707,94.4025699260826,108.23329903028781,27.4185,-0.0026287946347986584,1
1445.0,156.0,146.21918816980494,150.38568724018893,5.614312759811059,94.5993331531102,106.04274549035252,27.1044,-0.002635596331053931,1
1450.0,155.66666666666666,146.21918816980494,149.95697527473507,5.709691391931595,93.21987509747531,103.72858972672317,26.604300000000002,-0.0026209049171061452,1
1455.0,155.33333333333334,146.33414896080308,149.5418551281925,5.791478205140831,91.34596907260129,101.60154264918374,25.6977,-0.002590279056711378,1
1460.0,155.0,146.73807140159988,149.1472110463334,5.8527889536665825,86.7321901812028,99.33841032517763,25.159200000000002,-0.0025854654084853496,1
1465.0,155.0,146.73807140159988,149.08743306652082,5.91256693347919,80.67686295107467,96.6994743188178,25.0452,-0.002610675836482585,1
1470.0,155.0,147.00786987875742,149.03589449813245,5.964105501867544,77.08428178774523,93.70523854401763,24.9876,-0.0026419667228553497,1
1475.0,154.75,147.00799408458946,148.74189749909962,6.008102500900388,72.98059994989973,90.794461321391,24.9876,-0.0026924969256387475,1
1480.0,154.5,146.93410611924642,148.453403225909,6.046596774090987,72.3579707568986,88.23965413813623,25.0452,-0.0027473498241261697,1
1485.0,155.0,147.046869919725,148.90619040456014,6.093809595439856,71.8447432574211,85.93665195924166,25.477200000000003,-0.0028129945411242622,1
1490.0,155.5,146.86652748326424,149.34314934283347,6.1568506571665225,72.72096836258093,83.85153483594048,26.3412,-0.0028857631812679585,1
1495.0,156.0,146.8953567510924,149.76990503934567,6.230094960654318,74.4065334322689,81.86432482736345,27.2628,-0.0029797958985384736,1
1500.0,156.0,146.98021246878588,149.70061323638743,6.299386763612582,77.14176266202468,80.42592422202529,27.675,-0.0030796194019138677,1
1505.0,156.0,146.9513832009577,149.6323329968074,6.367667003192594,75.36996586537018,78.82347694804695,27.675,-0.003227652301728084,1
1510.0,156.0,147.0101264700314,149.56722834494374,6.432771655056263,70.05350080945652,76.89294575737871,27.675,-0.003445145508427131,1
1515.0,156.0,147.03013739780388,149.50425158257096,6.495748417429029,66.73691786918249,74.84219149042714,27.4842,-0.0036822244518766624,1
1520.0,156.0,147.2968833168319,149.4495178872332,6.550482112766774,66.36361474565061,73.14481020413113,27.1998,-0.003914612596638039,1
1525.0,156.16666666666666,147.29886852956795,149.55870216459732,6.607964502069342,65.68607224879487,71.89557764560782,27.026699999999998,-0.004139595732951346,1
1530.0,156.33333333333334,147.31726447540538,149.66561673367326,6.667716599660076,61.04780590537816,70.55920465541057,27.026699999999998,-0.004392641823871489,1
1535.0,156.5,147.39563632940457,149.7718177348723,6.728182265127728,61.03529471412379,69.56376255242924,27.026699999999998,-0.004608775306252586,1
1540.0,156.16666666666666,147.44346372299296,149.38905939588102,6.777607270785646,66.79712782175972,69.10035897450099,27.279899999999998,-0.004754435864439597,1
1545.0,155.83333333333334,147.3039312974544,149.0123817047261,6.820951628607248,72.99149055567702,69.19592124935565,27.9099,-0.004845579152538405,1
1550.0,155.5,147.34052902636265,148.64603589907273,6.85396410092727,75.74273543731145,69.44773517224986,28.1877,-0.004923505348287794,1
1555.0,155.25,147.72451595678422,148.37969841182124,6.8703015881787515,77.82893209933427,69.73293506117199,28.1877,-0.005012356719905742,1
1560.0,155.0,147.32747572600144,148.1100933559815,6.889906644018516,81.90765438584094,70.13009270482333,28.1877,-0.0050758972194932875,1
1565.0,155.0,147.20339337816966,148.08787636784191,6.91212363215808,88.20663223198977,71.19981490204164,27.749399999999998,-0.00512148120011523,1
1570.0,155.0,147.19446375716032,148.0659915638806,6.934008436119389,94.04029358950542,73.19871430037904,27.009,-0.005134293760285685,1
1575.0,155.0,146.76634963548707,148.0339510269765,6.966048973023496,97.9989379953581,75.80388264422702,26.709600000000002,-0.005122184476809976,1
1580.0,155.0,146.18709817119213,147.98823021688762,7.011769783112374,102.21247950192699,78.79128804058337,26.5323,-0.005063884322912371,1
1585.0,155.0,145.72437768919536,147.93208441500104,7.06791558499895,107.07064677691332,82.24000258459324,26.3826,-0.004939583993220554,1
1590.0,154.5,145.78134017109628,147.39126632020916,7.108733679790839,110.69044302024295,86.37688901083197,26.3826,-0.0047685642121075246,1
1595.0,154.0,145.92862412126215,146.8676507765412,7.1323492234587835,113.25066271643038,90.72816967769086,26.528100000000002,-0.004556844984371492,1
1600.0,155.0,146.02716325040686,147.82208909969359,7.177910900306411,116.21554196709658,94.84637085646894,26.6004,-0.004330465441256447,1
1605.0,155.0,146.23252729076495,147.7828005657761,7.217199434223897,115.76953961603621,98.41120827816553,26.540399999999998,-0.004103600248582899,1
1610.0,155.0,146.31866042812277,147.7466475736405,7.253352426359499,113.86592239413415,101.58814052456744,26.6004,-0.0038856175647750007,1
1615.0,155.0,146.31866042812277,147.7113984063083,7.288601593691712,111.09031258247876,104.35992223149613,26.6004,-0.003679773063698535,1
1620.0,155.0,146.31866042812277,147.6770304681594,7.322969531840618,108.17798434492701,106.54911639475331,26.540399999999998,-0.0034886629157575015,1
1625.0,155.5,146.23252729076495,148.12886840003026,7.371131599969749,103.73080379759148,107.84279735855345,26.4285,-0.003287810200920841,1
1630.0,156.0,146.29134953847068,148.570880939797,7.429119060203006,97.8588422265687,108.16100974497539,26.0379,-0.0030586492516261154,1
1635.0,155.5,146.71614158231444,148.03746296716565,7.462537032834339,91.671712142636,107.6337409239152,25.3161,-0.0028173396023113456,1
1640.0,155.0,147.19545069714815,147.52936317172095,7.470636828279045,82.64464156154098,106.00308776221637,24.4899,-0.002607173426550896,1
1645.0,155.0,147.85810213948892,147.5380321572209,7.4619678427791145,72.25807628365854,103.1020402211118,24.0264,-0.0024438094785600886,1
1650.0,155.0,147.9587840674735,147.54900146628293,7.450998533717068,65.30792637537382,99.32016383403938,24.0264,-0.002281762132674689,1
1655.0,155.0,147.99998699304385,147.5607266157577,7.4392733842423135,58.58627412314918,94.76479811793263,24.0264,-0.0021534814748425534,1
1660.0,155.0,148.1990315683617,147.5771347508785,7.422865249121482,53.839052606765385,89.56675733790502,23.9544,-0.002085542728166591,1
1665.0,155.0,148.49621131109726,147.60056217618973,7.399437823810283,51.2271215385282,84.1882224981127,24.084,-0.0020649040971691523,1
1670.0,155.0,148.5319445761974,147.62429724749563,7.37570275250436,51.141927671691334,78.96122293790911,24.3216,-0.0020522372313970414,1
1675.0,155.0,148.03031620447285,147.6348982327258,7.365101767274198,51.34867966562615,73.98275352817139,24.414,-0.002043735586076631,1
1680.0,155.0,148.29405973101572,147.65182778148878,7.348172218511219,51.46668190558786,69.25681165822647,24.3396,-0.0020525916850736487,1
1685.0,155.33333333333334,149.1844999349803,148.0155950966318,7.317738236701533,50.533383812909605,64.82369332616965,24.2652,-0.002105314066089623,1
1690.0,155.66666666666666,149.1844999349803,148.37026822889624,7.296398437770423,49.16304123698467,60.76570991037098,24.2652,-0.0022132337944850513,1
1695.0,156.0,149.18381348843775,148.7160573716905,7.283942628309488,46.93734733034674,57.037846176013545,24.2652,-0.0023795702722119137,1
1700.0,156.5,149.13133286780686,149.21438977039915,7.285610229600848,44.92466893636134,53.894515123915234,24.264000000000003,-0.002607838238173348,1
1705.0,157.0,148.97022421591217,149.6962361428427,7.303763857157291,44.254874242581025,51.56091495382545,24.246000000000002,-0.002893548905624691,1
1710.0,156.0,148.97022421591217,148.7035363559752,7.296463644024824,43.99436489622637,49.784784830563154,24.228,-0.0032262148854852193,1
1715.0,156.0,148.97022421591217,148.71065406377934,7.289345936220668,43.74413724420933,48.54794009065151,24.246000000000002,-0.00359283023648873,1
1720.0,156.0,148.97022421591217,148.7175938288884,7.282406171111616,44.00817283931422,47.728700110030566,24.282000000000004,-0.00398321838253736,1
1725.0,156.0,148.07991590290035,148.70210239204442,7.297897607955586,44.55269082093599,47.17249755023122,24.4557,-0.004369928740690028,1
1730.0,156.0,147.54336695735768,148.67358451748296,7.326415482517024,41.86248979279637,46.3992110603233,24.5313,-0.004765341836186423,1
1735.0,155.5,148.14225183682805,148.17325171177234,7.326748288227666,39.867522505483414,45.442447963644746,24.5313,-0.005156343966694669,1
